10.13019902,14.89361702
12.14142504,17.0212766
15.72639623,21.27659574
19.34268922,25.53191489
26.04535835,31.91489362
34.17494822,36.17021277
49.73123146,41.4893617
69.61400646,42.55319149
92.53203956,41.4893617
115.291623,39.36170213
141.8029916,34.04255319
190.9408609,28.72340426
237.9055066,24.46808511
308.1513289,19.14893617
388.9445053,14.89361702
551.5349442,8.510638298
772.0411508,4.255319149
1026.209321,-1.063829787
1312.132003,-2.127659574
1613.857439,-6.382978723
2063.510778,-9.574468085
2672.798951,-14.89361702
3741.396261,-21.27659574
5444.463068,-29.78723404
8130.408368,-41.4893617
12141.42504,-55.31914894
15931.15236,-63.82978723
20635.10778,-70.21276596
27785.62849,-77.65957447
35989.82835,-85.10638298
45425.88225,-89.36170213
53744.87766,-93.61702128
68719.28809,-96.80851064
86736.57064,-103.1914894
112347.0822,-109.5744681
136405.3677,-113.8297872
198496.4797,-123.4042553
270759.853,-135.106383
425807.673,-146.8085106
687192.8809,-160.6382979
1000000,-167.0212766
